address;source_location;insn;indent
0x72935a0;:0;PUSH	%RBP;
0x7293a88;:0;JE	7293a00 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x460>;(41458) 
0x7293a8e;:0;MOV	-0x10(%R12),%RDI;(41458) 
0x7293a93;:0;CMP	$0x1,%RDX;(41458) 
0x7293a97;:0;JNE	72939fb <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x45b>;(41458) 
0x7293a9d;:0;MOVZX	(%RSI),%EAX;(41458) 
0x7293aa0;:0;MOV	%AL,(%RDI);(41458) 
0x7293aa2;:0;JMP	7293a00 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x460>;(41458) 
0x7293aa7;:0;NOPW	(%RAX,%RAX,1);
0x7293ab0;:0;MOV	%RSI,-0x10(%R12);(41458) 
0x7293ab5;:0;MOV	-0x8(%R12,%R13,1),%RCX;(41458) 
0x7293aba;:0;MOV	%RCX,-0x8(%R12);(41458) 
0x7293abf;:0;MOV	(%R12,%R13,1),%RCX;(41458) 
0x7293ac3;:0;MOV	%RCX,(%R12);(41458) 
0x7293ac7;:0;MOV	%RAX,-0x10(%R12,%R13,1);(41458) 
0x7293acc;:0;JMP	7293a18 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x478>;(41458) 
0x7293ad1;:0;MOV	-0x70(%RBP),%RAX;
0x7293ad5;:0;MOV	%R15,0x8(%RAX);
0x7293ad9;:0;CMP	%R14,%R12;
0x7293adc;:0;JE	7293b96 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x5f6>;
0x7293ae2;:0;ADD	$0x10,%R15;
0x7293ae6;:0;LEA	0x10(%R14),%RAX;
0x7293aea;:0;LEA	-0x40(%RBP),%R13;
0x7293aee;:0;JMP	7293b25 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x585>;
0x7293af0;:0;MOV	%RCX,-0x10(%R15);(41455) 
0x7293af4;:0;MOV	(%RAX),%RCX;(41455) 
0x7293af7;:0;MOV	%RCX,(%R15);(41455) 
0x7293afa;:0;MOV	-0x8(%RAX),%RCX;(41455) 
0x7293afe;:0;MOV	%RCX,-0x8(%R15);(41455) 
0x7293b02;:0;MOV	%RAX,-0x10(%RAX);(41455) 
0x7293b06;:0;MOVQ	$0,-0x8(%RAX);(41455) 
0x7293b0e;:0;MOVB	$0,(%RAX);(41455) 
0x7293b11;:0;ADD	$0x20,%R15;(41455) 
0x7293b15;:0;LEA	0x20(%RAX),%RCX;(41455) 
0x7293b19;:0;ADD	$0x10,%RAX;(41455) 
0x7293b1d;:0;CMP	%R12,%RAX;(41455) 
0x7293b20;:0;MOV	%RCX,%RAX;(41455) 
0x7293b23;:0;JE	7293b67 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x5c7>;(41455) 
0x7293b25;:0;MOV	%R15,-0x10(%R15);(41455) 
0x7293b29;:0;MOV	-0x10(%RAX),%RCX;(41455) 
0x7293b2d;:0;CMP	%RCX,%RAX;(41455) 
0x7293b30;:0;JNE	7293af0 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x550>;(41455) 
0x7293b32;:0;VMOVUPS	(%RCX),%XMM0;(41455) 
0x7293b36;:0;VMOVUPS	%XMM0,(%R15);(41455) 
0x7293b3b;:0;JMP	7293afa <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x55a>;(41455) 
0x7293b3d;:0;LEA	-0x40(%RBP),%R13;
0x7293b41;:0;LEA	-0x50(%RBP),%R15;
0x7293b45;:0;NOPW	%CS:(%RAX,%RAX,1);
0x7293b50;:0;MOV	%R14,%RDI;(41457) 
0x7293b53;:0;MOV	%R15,%RSI;(41457) 
0x7293b56;:0;CALL	76328c0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_assignERKS4_@plt>;(41457) 
0x7293b5b;:0;ADD	$0x20,%R14;(41457) 
0x7293b5f;:0;ADD	$-0x20,%RBX;(41457) 
0x7293b63;:0;JNE	7293b50 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x5b0>;(41457) 
0x7293b65;:0;JMP	7293ba9 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x609>;
0x7293b67;:0;MOV	-0x68(%RBP),%RCX;
0x7293b6b;:0;SAL	$0x5,%RCX;
0x7293b6f;:0;MOV	-0x70(%RBP),%RAX;
0x7293b73;:0;ADD	%RCX,0x8(%RAX);
0x7293b77;:0;LEA	-0x50(%RBP),%RBX;
0x7293b7b;:0;NOPL	(%RAX,%RAX,1);
0x7293b80;:0;MOV	%R14,%RDI;(41454) 
0x7293b83;:0;MOV	%RBX,%RSI;(41454) 
0x7293b86;:0;CALL	76328c0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_assignERKS4_@plt>;(41454) 
0x7293b8b;:0;ADD	$0x20,%R14;(41454) 
0x7293b8f;:0;CMP	%R12,%R14;(41454) 
0x7293b92;:0;JNE	7293b80 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x5e0>;(41454) 
0x7293b94;:0;JMP	7293ba9 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x609>;
0x7293b96;:0;MOV	-0x68(%RBP),%RCX;
0x7293b9a;:0;SAL	$0x5,%RCX;
0x7293b9e;:0;ADD	%RCX,%R15;
0x7293ba1;:0;MOV	%R15,0x8(%RAX);
0x7293ba5;:0;LEA	-0x40(%RBP),%R13;
0x7293ba9;:0;MOV	-0x50(%RBP),%RDI;
0x7293bad;:0;CMP	%R13,%RDI;
0x7293bb0;:0;JE	7293bb7 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x617>;
0x7293bb2;:0;CALL	7632540 <_ZdlPv@plt>;
0x7293bb7;:0;MOV	%FS:0x28,%RAX;
0x7293bc0;:0;CMP	-0x30(%RBP),%RAX;
0x7293bc4;:0;JNE	7293bd5 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x635>;
0x7293bc6;:0;ADD	$0x68,%RSP;
0x7293bca;:0;POP	%RBX;
0x7293bcb;:0;POP	%R12;
0x7293bcd;:0;POP	%R13;
0x7293bcf;:0;POP	%R14;
0x7293bd1;:0;POP	%R15;
0x7293bd3;:0;POP	%RBP;
0x7293bd4;:0;RET;
0x7293bd5;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x7293bda;:0;LEA	-0x68895ef(%RIP),%RDI;
0x7293be1;:0;CALL	76329e0 <_ZSt20__throw_length_errorPKc@plt>;
0x7293be6;:0;INT	$0x3;
0x7293be7;:0;INT	$0x3;
0x7293be8;:0;INT	$0x3;
0x7293be9;:0;INT	$0x3;
0x7293bea;:0;INT	$0x3;
0x7293beb;:0;INT	$0x3;
0x7293bec;:0;INT	$0x3;
0x7293bed;:0;INT	$0x3;
0x7293bee;:0;INT	$0x3;
0x7293bef;:0;INT	$0x3;
