address;source_location;insn;indent
0x62dce0f;:0;CMPB	$0,0x14d0a92(%RIP);
0x62dd41e;:0;MOV	%R12,%RDI;
0x62dd421;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd426;:0;MOV	0x8(%R13),%RAX;
0x62dd42a;:0;MOV	0x220(%RAX),%RAX;
0x62dd431;:0;MOV	(%RAX),%ESI;
0x62dd433;:0;MOV	%R12,%RDI;
0x62dd436;:0;CALL	76339a0 <_ZNSolsEi@plt>;
0x62dd43b;:0;MOV	%RAX,%R12;
0x62dd43e;:0;LEA	-0x590133e(%RIP),%RSI;
0x62dd445;:0;MOV	$0x6,%EDX;
0x62dd44a;:0;MOV	%RAX,%RDI;
0x62dd44d;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd452;:0;MOV	0x10(%RBX),%RSI;
0x62dd456;:0;MOV	%R12,%RDI;
0x62dd459;:0;CALL	7633d20 <_ZNSo9_M_insertIlEERSoT_@plt>;
0x62dd45e;:0;MOV	%RAX,%RBX;
0x62dd461;:0;LEA	-0x59461e9(%RIP),%RSI;
0x62dd468;:0;MOV	$0x1,%EDX;
0x62dd46d;:0;MOV	%RAX,%RDI;
0x62dd470;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd475;:0;MOV	0x8(%R13),%RAX;
0x62dd479;:0;MOV	0x220(%RAX),%RAX;
0x62dd480;:0;MOV	0x8(%RAX),%RAX;
0x62dd484;:0;MOV	0x8(%RAX),%RSI;
0x62dd488;:0;ADD	$0x8,%RSI;
0x62dd48c;:0;LEA	-0x50(%RBP),%RDI;
0x62dd490;:0;MOV	$-0x1,%EDX;
0x62dd495;:0;CALL	763f800 <_ZN10tensorflow16SummarizeNodeDefB5cxx11ERKNS_7NodeDefEi@plt>;
0x62dd49a;:0;MOV	-0x50(%RBP),%RSI;
0x62dd49e;:0;MOV	-0x48(%RBP),%RDX;
0x62dd4a2;:0;MOV	%RBX,%RDI;
0x62dd4a5;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd4aa;:0;MOV	%RAX,%RBX;
0x62dd4ad;:0;LEA	-0x592804b(%RIP),%RSI;
0x62dd4b4;:0;MOV	%RAX,%RDI;
0x62dd4b7;:0;XOR	%EDX,%EDX;
0x62dd4b9;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd4be;:0;LEA	-0x5894a9b(%RIP),%RSI;
0x62dd4c5;:0;MOV	$0x9,%EDX;
0x62dd4ca;:0;MOV	%RBX,%RDI;
0x62dd4cd;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd4d2;:0;MOV	-0x300(%RBP),%RDI;
0x62dd4d9;:0;MOV	(%RDI),%RAX;
0x62dd4dc;:0;CALLQ	0x80(%RAX);
0x62dd4e2;:0;MOV	(%RAX),%RSI;
0x62dd4e5;:0;MOV	0x8(%RAX),%RDX;
0x62dd4e9;:0;MOV	%RBX,%RDI;
0x62dd4ec;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd4f1;:0;MOV	-0x50(%RBP),%RDI;
0x62dd4f5;:0;LEA	-0x40(%RBP),%RAX;
0x62dd4f9;:0;CMP	%RAX,%RDI;
0x62dd4fc;:0;JE	62dd503 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x8f3>;
0x62dd4fe;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dd503;:0;LEA	-0x2e8(%RBP),%RDI;
0x62dd50a;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;
0x62dd50f;:0;JMP	62dce1c <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x20c>;
0x62dd597;:0;VMOVUPS	(%RAX),%XMM0;
0x62dd59b;:0;VMOVUPS	%XMM0,(%R14);
0x62dd5a0;:0;MOV	-0x90(%RBP),%RAX;
0x62dd5a7;:0;MOV	-0x78(%RBP),%RCX;
0x62dd5ab;:0;MOV	%RAX,-0x2e0(%RBP);
0x62dd5b2;:0;MOV	%RBX,-0x98(%RBP);
0x62dd5b9;:0;MOVQ	$0,-0x90(%RBP);
0x62dd5c4;:0;MOVB	$0,-0x88(%RBP);
0x62dd5cb;:0;MOV	%RCX,-0x2c8(%RBP);
0x62dd5d2;:0;CALL	763b2f0 <_ZN3tsl8profiler19GetCurrentTimeNanosEv@plt>;
0x62dd5d7;:0;MOV	%RAX,-0x2c0(%RBP);
0x62dd5de;:0;LEA	-0x2e8(%RBP),%RDI;
0x62dd5e5;:0;CALL	763b300 <_ZN3tsl8profiler15TraceMeRecorder6RecordEONS1_5EventE@plt>;
0x62dd5ea;:0;MOV	-0x2e8(%RBP),%RDI;
0x62dd5f1;:0;CMP	%R14,%RDI;
0x62dd5f4;:0;JE	62dd5fb <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x9eb>;
0x62dd5f6;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dd5fb;:0;MOV	-0x98(%RBP),%RDI;
0x62dd602;:0;CMP	%RBX,%RDI;
0x62dd605;:0;JE	62dd04a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x43a>;
0x62dd60b;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dd610;:0;JMP	62dd04a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x43a>;
0x62dd615;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x62dd61a;:0;LEA	0x14d028f(%RIP),%RDI;
0x62dd621;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;
0x62dd626;:0;TEST	%EAX,%EAX;
0x62dd628;:0;JE	62dce0f <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x1ff>;
0x62dd62e;:0;LEA	-0x590d9d5(%RIP),%RDI;
0x62dd635;:0;MOV	$0x2,%ESI;
0x62dd63a;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;
0x62dd63f;:0;MOV	%AL,0x14d0263(%RIP);
0x62dd645;:0;LEA	0x14d0264(%RIP),%RDI;
0x62dd64c;:0;CALL	7632c40 <__cxa_guard_release@plt>;
0x62dd651;:0;JMP	62dce0f <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x1ff>;
0x62dd65b;:0;MOV	0x1433a66(%RIP),%RDI;
0x62dd662;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;
0x62dd667;:0;TEST	%EAX,%EAX;
0x62dd669;:0;JE	62dd345 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x735>;
0x62dd66f;:0;LEA	-0x589ace4(%RIP),%RDI;
0x62dd676;:0;MOV	$0x1,%ESI;
0x62dd67b;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;
0x62dd680;:0;MOV	0x1433a49(%RIP),%RCX;
0x62dd687;:0;MOV	%AL,(%RCX);
0x62dd689;:0;MOV	0x1433a38(%RIP),%RDI;
0x62dd690;:0;CALL	7632c40 <__cxa_guard_release@plt>;
0x62dd695;:0;JMP	62dd345 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x735>;
